nom;prenom;moyennesemestre1;moyennesemestre2
BARTH;Redd;8.9016666666666667;12.3997619047619048
LE BRETON;Ike;9.6076785714285715;11.2096428571428572
LE DU;Vincent;9.7607142857142857;12.2220238095238095
OLLIER;Bentley;10.9835714285714286;13.0384523809523810
LAFARGUE;Jay;10.2358333333333334;10.9595238095238095
PORTIER;Lorne;12.0950000000000000;10.3471428571428572
GUITARD;Jérémie;14.0233333333333334;13.5767857142857143
BARTH;Redd;8.9016666666666667;12.3997619047619048
OLLIER;Bentley;10.9835714285714286;13.0384523809523810
LAFARGUE;Jay;10.2358333333333334;10.9595238095238095
GUITARD;Jérémie;14.0233333333333334;13.5767857142857143
PRAT;Quin;11.1733333333333334;11.0233928571428572
PRIVAT;Brice;9.3401190476190477;11.3558928571428572
BARTH;Redd;8.9016666666666667;12.3997619047619048
LE BRETON;Ike;9.6076785714285715;11.2096428571428572
LE DU;Vincent;9.7607142857142857;12.2220238095238095
OLLIER;Bentley;10.9835714285714286;13.0384523809523810
CLAVIER;Gervase;11.4835714285714286;11.9679761904761905
COTTIN;Piers;12.4765476190476191;13.2139285714285715
LAFARGUE;Jay;10.2358333333333334;10.9595238095238095
LAMARQUE;Toussaint;10.3545238095238095;10.2009523809523810
PORTIER;Lorne;12.0950000000000000;10.3471428571428572
PRAT;Quin;11.1733333333333334;11.0233928571428572
BORDIER;Innocent;11.2605952380952381;12.1616666666666667
GUITARD;Jérémie;14.0233333333333334;13.5767857142857143
PRAT;Quin;11.1733333333333334;11.0233928571428572
PRIVAT;Brice;9.3401190476190477;11.3558928571428572
BARTH;Redd;8.9016666666666667;12.3997619047619048
LE BRETON;Ike;9.6076785714285715;11.2096428571428572
LE DU;Vincent;9.7607142857142857;12.2220238095238095
OLLIER;Bentley;10.9835714285714286;13.0384523809523810
AUFFRET;Donnie;10.0241666666666667;11.6172619047619048
HEUZE;Jeff;13.2891666666666667;13.2950000000000000
DELMOTTE;Lon;13.0770238095238095;11.2854761904761905
MAIRE;Telesphore;12.1113690476190477;12.2060119047619048
LECOINTRE;Jérémie;17.2172619047619048;16.2673809523809524
MARZIN;Linton;8.9148214285714286;10.2842261904761905
MOISAN;Burt;10.7804761904761905;11.5936904761904762
BARRY;Kipling;7.40244047619047620000;9.0401190476190477
